Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1965,Aleatorio,100,57,0.57,3,26 - 46 - 48 - 49 - 54 - 55,26 - 28 - 35 - 38 - 48 - 55,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1965,Motor Elite 7,100,63,0.63,2,09 - 12 - 16 - 35 - 48 - 57,26 - 28 - 35 - 38 - 48 - 55,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
1965,Motor Elite 8,100,64,0.64,2,05 - 18 - 23 - 46 - 48 - 55,26 - 28 - 35 - 38 - 48 - 55,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
1966,Aleatorio,100,68,0.68,3,08 - 13 - 19 - 30 - 49 - 60,10 - 13 - 19 - 32 - 40 - 60,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0
1966,Motor Elite 7,100,57,0.57,2,10 - 17 - 25 - 32 - 33 - 48,10 - 13 - 19 - 32 - 40 - 60,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1966,Motor Elite 8,100,59,0.59,3,10 - 13 - 22 - 41 - 55 - 60,10 - 13 - 19 - 32 - 40 - 60,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1967,Aleatorio,100,51,0.51,2,03 - 18 - 25 - 39 - 41 - 46,13 - 30 - 32 - 39 - 46 - 54,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0
1967,Motor Elite 7,100,52,0.52,3,15 - 21 - 30 - 33 - 39 - 46,13 - 30 - 32 - 39 - 46 - 54,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1967,Motor Elite 8,100,57,0.57,4,13 - 21 - 32 - 39 - 46 - 58,13 - 30 - 32 - 39 - 46 - 54,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0
1968,Aleatorio,100,65,0.65,3,01 - 24 - 39 - 44 - 52 - 53,35 - 36 - 39 - 44 - 48 - 52,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
1968,Motor Elite 7,100,78,0.78,3,03 - 19 - 30 - 35 - 39 - 48,35 - 36 - 39 - 44 - 48 - 52,16,16.0,2,2.0,0,0.0,0,0.0,0,0.0
1968,Motor Elite 8,100,59,0.59,3,10 - 17 - 35 - 39 - 48 - 56,35 - 36 - 39 - 44 - 48 - 52,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1969,Aleatorio,100,43,0.43,2,02 - 12 - 16 - 20 - 30 - 57,08 - 20 - 30 - 32 - 48 - 59,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1969,Motor Elite 7,100,78,0.78,3,05 - 19 - 20 - 32 - 39 - 48,08 - 20 - 30 - 32 - 48 - 59,13,13.0,2,2.0,0,0.0,0,0.0,0,0.0
1969,Motor Elite 8,100,63,0.63,3,08 - 14 - 21 - 43 - 48 - 59,08 - 20 - 30 - 32 - 48 - 59,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1970,Aleatorio,100,71,0.71,3,24 - 26 - 32 - 34 - 39 - 52,05 - 10 - 18 - 24 - 39 - 52,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1970,Motor Elite 7,100,65,0.65,4,18 - 24 - 32 - 39 - 52 - 59,05 - 10 - 18 - 24 - 39 - 52,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0
1970,Motor Elite 8,100,56,0.56,3,09 - 18 - 24 - 39 - 42 - 43,05 - 10 - 18 - 24 - 39 - 52,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0
1971,Aleatorio,100,57,0.57,3,04 - 43 - 50 - 52 - 54 - 60,04 - 10 - 41 - 44 - 52 - 54,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1971,Motor Elite 7,100,71,0.71,3,04 - 18 - 29 - 52 - 54 - 55,04 - 10 - 41 - 44 - 52 - 54,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
1971,Motor Elite 8,100,55,0.55,2,10 - 13 - 22 - 41 - 55 - 60,04 - 10 - 41 - 44 - 52 - 54,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1972,Aleatorio,100,50,0.5,2,09 - 26 - 29 - 40 - 49 - 59,09 - 16 - 20 - 54 - 57 - 59,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1972,Motor Elite 7,100,67,0.67,3,01 - 16 - 20 - 31 - 32 - 59,09 - 16 - 20 - 54 - 57 - 59,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
1972,Motor Elite 8,100,60,0.6,3,07 - 09 - 16 - 37 - 48 - 54,09 - 16 - 20 - 54 - 57 - 59,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
1973,Aleatorio,100,57,0.57,3,01 - 03 - 06 - 12 - 52 - 56,01 - 12 - 16 - 17 - 52 - 60,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1973,Motor Elite 7,100,50,0.5,2,01 - 03 - 24 - 44 - 52 - 57,01 - 12 - 16 - 17 - 52 - 60,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
1973,Motor Elite 8,100,59,0.59,3,01 - 17 - 27 - 40 - 54 - 60,01 - 12 - 16 - 17 - 52 - 60,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
1974,Aleatorio,100,61,0.61,3,04 - 13 - 27 - 51 - 54 - 55,04 - 19 - 27 - 38 - 54 - 57,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
1974,Motor Elite 7,100,44,0.44,2,04 - 14 - 27 - 44 - 45 - 60,04 - 19 - 27 - 38 - 54 - 57,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
1974,Motor Elite 8,100,59,0.59,3,04 - 17 - 22 - 31 - 38 - 57,04 - 19 - 27 - 38 - 54 - 57,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1975,Aleatorio,100,53,0.53,2,09 - 24 - 26 - 29 - 32 - 60,08 - 11 - 24 - 26 - 47 - 57,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1975,Motor Elite 7,100,46,0.46,3,11 - 24 - 32 - 34 - 43 - 57,08 - 11 - 24 - 26 - 47 - 57,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
1975,Motor Elite 8,100,62,0.62,3,08 - 16 - 26 - 27 - 45 - 57,08 - 11 - 24 - 26 - 47 - 57,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1976,Aleatorio,100,55,0.55,3,05 - 12 - 14 - 19 - 26 - 33,12 - 14 - 19 - 25 - 52 - 59,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1976,Motor Elite 7,100,64,0.64,3,05 - 12 - 25 - 36 - 45 - 59,12 - 14 - 19 - 25 - 52 - 59,12,12.0,3,3.0,0,0.0,0,0.0,0,0.0
1976,Motor Elite 8,100,67,0.67,3,01 - 14 - 32 - 41 - 52 - 59,12 - 14 - 19 - 25 - 52 - 59,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1977,Aleatorio,100,58,0.58,4,16 - 23 - 28 - 32 - 34 - 42,03 - 16 - 28 - 32 - 34 - 37,5,5.0,0,0.0,1,1.0,0,0.0,0,0.0
1977,Motor Elite 7,100,58,0.58,3,03 - 19 - 28 - 32 - 56 - 60,03 - 16 - 28 - 32 - 34 - 37,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1977,Motor Elite 8,100,58,0.58,2,03 - 04 - 16 - 33 - 49 - 60,03 - 16 - 28 - 32 - 34 - 37,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1978,Aleatorio,100,62,0.62,3,06 - 22 - 29 - 33 - 48 - 55,02 - 06 - 22 - 44 - 55 - 57,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1978,Motor Elite 7,100,52,0.52,4,06 - 13 - 22 - 26 - 55 - 57,02 - 06 - 22 - 44 - 55 - 57,4,4.0,0,0.0,2,2.0,0,0.0,0,0.0
1978,Motor Elite 8,100,55,0.55,3,02 - 04 - 21 - 35 - 44 - 55,02 - 06 - 22 - 44 - 55 - 57,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1979,Aleatorio,100,73,0.73,3,31 - 32 - 38 - 45 - 52 - 59,22 - 23 - 29 - 32 - 38 - 45,13,13.0,3,3.0,0,0.0,0,0.0,0,0.0
