Motor,Concurso,Jogo,Resultado,Acertos,Score
Elite X PRO,1965,09 - 10 - 21 - 43 - 45 - 52,26 - 28 - 35 - 38 - 48 - 55,0,76.98
Elite X PRO,1965,05 - 10 - 28 - 33 - 43 - 52,26 - 28 - 35 - 38 - 48 - 55,1,74.16
Elite X PRO,1965,10 - 21 - 33 - 43 - 45 - 52,26 - 28 - 35 - 38 - 48 - 55,0,73.82
Elite 9,1965,09 - 10 - 21 - 43 - 45 - 52,26 - 28 - 35 - 38 - 48 - 55,0,74.74
Elite 9,1965,10 - 21 - 33 - 43 - 45 - 52,26 - 28 - 35 - 38 - 48 - 55,0,71.67
Elite 9,1965,14 - 24 - 25 - 33 - 39 - 45,26 - 28 - 35 - 38 - 48 - 55,0,70.17
Elite X PRO,1966,09 - 20 - 22 - 33 - 45 - 52,10 - 13 - 19 - 32 - 40 - 60,0,76.36
Elite X PRO,1966,09 - 10 - 21 - 43 - 45 - 52,10 - 13 - 19 - 32 - 40 - 60,1,75.27
Elite X PRO,1966,09 - 10 - 33 - 43 - 45 - 52,10 - 13 - 19 - 32 - 40 - 60,1,75.27
Elite 9,1966,09 - 10 - 21 - 43 - 45 - 52,10 - 13 - 19 - 32 - 40 - 60,1,73.08
Elite 9,1966,09 - 10 - 33 - 43 - 45 - 52,10 - 13 - 19 - 32 - 40 - 60,1,73.08
Elite 9,1966,21 - 25 - 28 - 30 - 36 - 43,10 - 13 - 19 - 32 - 40 - 60,0,71.44
Elite X PRO,1967,10 - 20 - 33 - 39 - 40 - 43,13 - 30 - 32 - 39 - 46 - 54,1,75.3
Elite X PRO,1967,09 - 10 - 21 - 43 - 45 - 52,13 - 30 - 32 - 39 - 46 - 54,0,74.3
Elite X PRO,1967,09 - 21 - 25 - 28 - 40 - 52,13 - 30 - 32 - 39 - 46 - 54,0,72.25
Elite 9,1967,09 - 10 - 21 - 43 - 45 - 52,13 - 30 - 32 - 39 - 46 - 54,0,72.14
Elite 9,1967,09 - 21 - 25 - 28 - 40 - 52,13 - 30 - 32 - 39 - 46 - 54,0,70.15
Elite 9,1967,21 - 24 - 25 - 28 - 43 - 45,13 - 30 - 32 - 39 - 46 - 54,0,70.08
Elite X PRO,1968,09 - 10 - 32 - 33 - 43 - 45,35 - 36 - 39 - 44 - 48 - 52,0,73.76
Elite X PRO,1968,09 - 28 - 30 - 32 - 33 - 39,35 - 36 - 39 - 44 - 48 - 52,1,73.03
Elite X PRO,1968,09 - 24 - 25 - 36 - 40 - 45,35 - 36 - 39 - 44 - 48 - 52,1,72.4
Elite 9,1968,10 - 21 - 30 - 39 - 40 - 45,35 - 36 - 39 - 44 - 48 - 52,1,72.11
Elite 9,1968,09 - 10 - 32 - 33 - 43 - 45,35 - 36 - 39 - 44 - 48 - 52,0,71.61
