Concurso,Score medio Elite X PRO,Melhor score Elite X PRO
1965,74.99,76.98
1966,75.63,76.36
1967,73.95,75.3
1968,73.06,73.76
1969,74.88,75.56
1970,75.24,77.03
1971,76.09,77.71
1972,76.55,78.77
1973,74.58,77.94
1974,71.69,72.01
1975,72.88,74.34
1976,73.08,74.16
1977,71.37,73.78
1978,70.13,71.4
1979,68.44,68.97
1980,69.65,70.08
1981,70.63,71.18
1982,70.25,70.86
1983,72.18,72.65
1984,72.23,73.48
1985,72.6,74.07
1986,73.58,74.84
1987,75.03,75.77
1988,74.81,74.81
1989,71.29,71.61
1990,72.53,72.64
1991,71.69,72.12
1992,70.1,71.02
1993,71.3,71.9
1994,71.28,72.43
1995,70.71,71.08
1996,69.19,69.62
1997,71.76,72.78
1998,72.42,73.2
1999,72.58,73.51
2000,72.9,73.57
2001,72.83,73.13
2002,73.99,76.25
2003,72.31,72.75
2004,73.09,73.51
2005,72.29,72.92
2006,70.49,71.12
2007,69.87,70.95
2008,74.08,75.72
2009,73.06,75.33
2010,73.62,74.01
2011,73.26,73.8
2012,72.77,73.41
2013,71.34,72.5
2014,75.63,76.62
2015,72.19,72.61
2016,74.8,75.05
2017,76.8,78.06
2018,76.04,76.51
2019,73.18,73.72
2020,76.74,77.34
2021,74.1,75.4
2022,75.02,75.13
2023,72.85,73.04
2024,73.7,74.06
2025,73.5,74.39
2026,72.02,73.84
2027,71.73,72.42
2028,74.38,74.78
2029,75.24,75.74
2030,73.82,76.71
2031,74.17,75.05
2032,74.48,75.11
2033,71.89,73.15
2034,74.54,75.53
2035,74.74,75.47
2036,78.7,80.15
2037,76.63,78.4
2038,74.8,76.56
2039,73.75,75.18
2040,75.69,77.14
2041,71.09,71.31
2042,73.68,75.8
2043,73.54,74.93
2044,73.56,74.25
2045,74.96,76.94
2046,72.76,74.77
2047,74.23,74.64
2048,74.2,74.46
2049,73.28,73.62
2050,75.38,75.8
2051,76.93,78.12
2052,73.67,73.89
2053,74.63,75.77
2054,73.69,74.09
2055,75.77,76.31
2056,74.74,75.24
2057,74.2,75.58
2058,74.64,76.21
2059,72.86,73.58
2060,73.34,74.32
2061,74.98,75.94
2062,74.45,75.76
2063,74.73,75.59
2064,77.57,79.27
2065,73.36,73.69
2066,72.44,73.13
2067,72.59,73.21
2068,72.51,72.94
2069,73.49,75.59
2070,74.24,76.29
2071,75.07,76.3
2072,73.99,75.05
2073,74.95,75.38
2074,75.58,75.77
2075,74.19,77.7
2076,74.16,74.5
2077,70.83,71.1
2078,75.9,76.57
2079,76.77,79.6
2080,76.85,79.69
2081,75.12,76.18
2082,74.94,75.8
2083,72.06,72.23
2084,74.56,75.89
2085,77.34,79.67
2086,78.06,79.39
2087,77.02,79.26
