Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 10,2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 10,2955,Elite 9,50,42,0.84,3,05 - 21 - 32 - 33 - 44 - 60,09 - 13 - 21 - 32 - 33 - 59,16,0,0.0,0,0.0,0,0.0,76.666667,20.169492,2.220923,0.139243,17.918367
Ultimos 10,2955,Elite X,1,1,1.0,1,09 - 17 - 20 - 30 - 35 - 42,09 - 13 - 21 - 32 - 33 - 59,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 10,2956,Elite 9,50,24,0.48,2,10 - 15 - 32 - 33 - 44 - 47,10 - 18 - 21 - 24 - 43 - 47,1,0,0.0,0,0.0,0,0.0,73.333333,19.378531,2.092344,0.133707,21.238095
Ultimos 10,2956,Elite X,1,0,0.0,0,,10 - 18 - 21 - 24 - 43 - 47,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 10,2957,Elite 9,50,21,0.42,2,05 - 13 - 28 - 32 - 33 - 48,19 - 28 - 36 - 37 - 48 - 52,1,0,0.0,0,0.0,0,0.0,76.666667,18.587571,2.077732,0.134937,23.891156
Ultimos 10,2957,Elite X,1,1,1.0,1,01 - 05 - 22 - 26 - 36 - 42,19 - 28 - 36 - 37 - 48 - 52,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0,0.0,0,0.0,0,0.0,100.0,57.570621,5.6955,0.307402,9.794613
Ultimos 10,2958,Elite 9,50,25,0.5,3,09 - 14 - 27 - 32 - 49 - 50,07 - 09 - 14 - 35 - 42 - 49,12,0,0.0,0,0.0,0,0.0,75.0,21.80791,2.255991,0.139243,18.244898
Ultimos 10,2958,Elite X,1,3,3.0,3,01 - 35 - 39 - 40 - 42 - 49,07 - 09 - 14 - 35 - 42 - 49,5,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2959,Aleatorio,100,59,0.59,3,21 - 26 - 43 - 44 - 45 - 53,18 - 26 - 35 - 41 - 44 - 45,19,0,0.0,0,0.0,0,0.0,100.0,57.909605,5.669199,0.307197,9.784512
Ultimos 10,2959,Elite 9,50,29,0.58,2,03 - 18 - 36 - 37 - 44 - 53,18 - 26 - 35 - 41 - 44 - 45,6,0,0.0,0,0.0,0,0.0,78.333333,21.977401,2.279369,0.139449,16.993197
Ultimos 10,2959,Elite X,1,0,0.0,0,,18 - 26 - 35 - 41 - 44 - 45,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2960,Aleatorio,100,60,0.6,4,03 - 15 - 16 - 42 - 47 - 59,03 - 13 - 15 - 16 - 46 - 47,58,1,1.0,0,0.0,0,0.0,100.0,58.644068,5.736411,0.307607,10.013468
Ultimos 10,2960,Elite 9,50,30,0.6,3,09 - 13 - 15 - 34 - 46 - 58,03 - 13 - 15 - 16 - 46 - 47,8,0,0.0,0,0.0,0,0.0,76.666667,22.372881,2.337814,0.141499,16.013605
Ultimos 10,2960,Elite X,1,0,0.0,0,,03 - 13 - 15 - 16 - 46 - 47,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2961,Aleatorio,100,60,0.6,2,03 - 09 - 39 - 53 - 55 - 59,10 - 13 - 55 - 56 - 59 - 60,13,0,0.0,0,0.0,0,0.0,100.0,57.79661,5.675044,0.306582,9.969697
Ultimos 10,2961,Elite 9,50,34,0.68,3,02 - 13 - 21 - 33 - 56 - 59,10 - 13 - 55 - 56 - 59 - 60,13,0,0.0,0,0.0,0,0.0,76.666667,21.920904,2.337814,0.14355,17.455782
Ultimos 10,2961,Elite X,1,1,1.0,1,04 - 20 - 39 - 50 - 51 - 55,10 - 13 - 55 - 56 - 59 - 60,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
Ultimos 10,2962,Aleatorio,100,66,0.66,3,03 - 21 - 29 - 33 - 35 - 38,06 - 29 - 33 - 38 - 53 - 56,16,0,0.0,0,0.0,0,0.0,100.0,58.248588,5.713033,0.307197,9.717172
Ultimos 10,2962,Elite 9,50,28,0.56,2,01 - 10 - 19 - 33 - 56 - 59,06 - 29 - 33 - 38 - 53 - 56,4,0,0.0,0,0.0,0,0.0,76.666667,20.451977,2.20339,0.137808,19.918367
Ultimos 10,2962,Elite X,1,1,1.0,1,01 - 06 - 13 - 18 - 54 - 57,06 - 29 - 33 - 38 - 53 - 56,0,0,0.0,0,0.0,0,0.0,20.0,3.448276,0.492611,0.054735,0.0
