Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 10,2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 10,2955,Elite 9,50,40,0.8,2,05 - 21 - 33 - 44 - 50 - 54,09 - 13 - 21 - 32 - 33 - 59,6,0,0.0,0,0.0,0,0.0,80.0,22.146893,2.270602,0.139654,15.959184
Ultimos 10,2955,Elite X,100,61,0.61,2,19 - 27 - 32 - 33 - 41 - 51,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,100.0,46.453202,5.473454,19.296296
Ultimos 10,2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 10,2956,Elite 9,50,38,0.76,2,10 - 15 - 32 - 40 - 41 - 47,10 - 18 - 21 - 24 - 43 - 47,8,0,0.0,0,0.0,0,0.0,71.666667,20.451977,2.197545,0.138423,18.802721
Ultimos 10,2956,Elite X,100,43,0.43,2,11 - 14 - 24 - 36 - 42 - 43,10 - 18 - 21 - 24 - 43 - 47,4,0,0.0,0,0.0,0,0.0,100.0,100.0,46.403941,5.473454,19.255892
Ultimos 10,2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 10,2957,Elite 9,50,24,0.48,2,12 - 13 - 28 - 32 - 37 - 59,19 - 28 - 36 - 37 - 48 - 52,4,0,0.0,0,0.0,0,0.0,66.666667,17.853107,2.136178,0.139038,22.122449
Ultimos 10,2957,Elite X,100,81,0.81,3,01 - 11 - 28 - 37 - 45 - 48,19 - 28 - 36 - 37 - 48 - 52,24,0,0.0,0,0.0,0,0.0,100.0,100.0,46.37931,5.473454,19.255892
Ultimos 10,2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0,0.0,0,0.0,0,0.0,100.0,57.570621,5.6955,0.307402,9.794613
Ultimos 10,2958,Elite 9,50,35,0.7,2,09 - 10 - 30 - 35 - 47 - 56,07 - 09 - 14 - 35 - 42 - 49,3,0,0.0,0,0.0,0,0.0,76.666667,19.887006,2.168323,0.138013,19.115646
Ultimos 10,2958,Elite X,100,81,0.81,3,06 - 31 - 34 - 35 - 42 - 49,07 - 09 - 14 - 35 - 42 - 49,22,0,0.0,0,0.0,0,0.0,100.0,100.0,46.37931,5.473454,19.242424
Ultimos 10,2959,Aleatorio,100,59,0.59,3,21 - 26 - 43 - 44 - 45 - 53,18 - 26 - 35 - 41 - 44 - 45,19,0,0.0,0,0.0,0,0.0,100.0,57.909605,5.669199,0.307197,9.784512
Ultimos 10,2959,Elite 9,50,31,0.62,3,04 - 19 - 26 - 32 - 44 - 45,18 - 26 - 35 - 41 - 44 - 45,12,0,0.0,0,0.0,0,0.0,78.333333,20.79096,2.194623,0.138013,18.340136
Ultimos 10,2959,Elite X,100,81,0.81,3,20 - 26 - 44 - 45 - 46 - 53,18 - 26 - 35 - 41 - 44 - 45,20,0,0.0,0,0.0,0,0.0,100.0,100.0,46.305419,5.473454,19.272727
Ultimos 10,2960,Aleatorio,100,60,0.6,4,03 - 15 - 16 - 42 - 47 - 59,03 - 13 - 15 - 16 - 46 - 47,58,1,1.0,0,0.0,0,0.0,100.0,58.644068,5.736411,0.307607,10.013468
Ultimos 10,2960,Elite 9,50,31,0.62,3,09 - 13 - 15 - 34 - 46 - 58,03 - 13 - 15 - 16 - 46 - 47,8,0,0.0,0,0.0,0,0.0,78.333333,21.129944,2.288136,0.140884,18.29932
Ultimos 10,2960,Elite X,100,80,0.8,3,03 - 15 - 25 - 27 - 31 - 46,03 - 13 - 15 - 16 - 46 - 47,20,0,0.0,0,0.0,0,0.0,100.0,100.0,46.502463,5.473454,19.272727
