Ranking,Banco,Jogo,Score Final,Score Neural Elite X,Confianca,Soma,Pares
1,15 dezenas,10 - 13 - 27 - 35 - 48 - 53,76.19,73.8,Alta,186,2
2,15 dezenas,10 - 13 - 37 - 44 - 53 - 54,74.57,72.87,Media,211,3
3,15 dezenas,04 - 09 - 13 - 30 - 37 - 48,73.98,71.87,Media,141,3
4,15 dezenas,05 - 13 - 30 - 33 - 35 - 53,72.62,70.27,Media,169,1
5,15 dezenas,09 - 10 - 13 - 27 - 33 - 48,70.46,68.47,Media,140,2
6,15 dezenas,01 - 09 - 30 - 33 - 37 - 53,70.2,68.44,Media,163,1
7,15 dezenas,05 - 10 - 13 - 30 - 35 - 37,66.18,65.05,Media,130,2
8,15 dezenas,04 - 09 - 10 - 35 - 37 - 53,65.47,64.82,Media,148,2
9,15 dezenas,13 - 33 - 35 - 37 - 48 - 54,66.05,64.75,Media,220,2
10,15 dezenas,01 - 05 - 09 - 30 - 37 - 53,63.5,62.52,Media,135,1
11,15 dezenas,05 - 09 - 13 - 27 - 30 - 37,60.43,59.9,Baixa,121,1
12,15 dezenas,01 - 05 - 10 - 13 - 27 - 54,57.9,57.61,Baixa,110,2
