Janela,Motor,Tamanho banco,Concursos analisados,Media de acertos,Media de cobertura (%),Melhor acerto,Melhor concurso,Melhor banco,Resultado melhor concurso,Score premiacao,Score medio premiacao,Concursos com 0 acertos,Concursos com 1 acertos,Concursos com 2 acertos,Concursos com 3 acertos,Concursos com 4 acertos,Concursos com 5 acertos,Concursos com 6 acertos,Conclusao automatica
Ultimos 500,Elite 9 Banco Mestre,20,500,2.022,33.7,5,2737,04 - 06 - 10 - 11 - 13 - 20 - 23 - 27 - 28 - 30 - 32 - 33 - 34 - 35 - 37 - 41 - 42 - 45 - 46 - 53,16 - 20 - 30 - 34 - 37 - 45,4787,9.574,32,130,182,111,41,4,0,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 500,Aleatorio Banco Mestre,20,500,1.942,32.366667,5,2558,01 - 02 - 08 - 10 - 11 - 13 - 17 - 25 - 26 - 28 - 29 - 31 - 34 - 38 - 40 - 44 - 46 - 48 - 54 - 60,02 - 10 - 18 - 25 - 34 - 44,5565,11.13,55,119,175,108,37,6,0,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 500,Elite 9 Banco Mestre,25,500,2.532,42.2,6,2718,04 - 06 - 08 - 10 - 11 - 13 - 17 - 20 - 23 - 27 - 29 - 30 - 32 - 33 - 34 - 35 - 37 - 41 - 42 - 43 - 45 - 46 - 53 - 56 - 59,06 - 30 - 34 - 41 - 46 - 59,22601,45.202,13,77,161,148,84,15,2,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 500,Aleatorio Banco Mestre,25,500,2.48,41.333333,6,2615,01 - 05 - 07 - 08 - 09 - 10 - 12 - 13 - 14 - 17 - 19 - 22 - 23 - 26 - 30 - 34 - 37 - 38 - 40 - 41 - 44 - 46 - 48 - 54 - 59,05 - 07 - 22 - 23 - 41 - 59,18796,37.592,17,78,161,157,67,19,1,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 500,Elite 9 Banco Mestre,30,500,3.044,50.733333,6,2516,01 - 02 - 05 - 08 - 10 - 11 - 16 - 17 - 18 - 23 - 27 - 28 - 29 - 30 - 32 - 33 - 35 - 36 - 37 - 38 - 41 - 42 - 44 - 46 - 49 - 51 - 52 - 53 - 54 - 56,08 - 17 - 49 - 51 - 52 - 53,47890,95.78,5,40,105,177,128,41,4,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 500,Aleatorio Banco Mestre,30,500,3.02,50.333333,6,2600,01 - 03 - 04 - 08 - 10 - 12 - 14 - 15 - 17 - 18 - 20 - 21 - 22 - 23 - 24 - 26 - 29 - 32 - 37 - 38 - 40 - 43 - 45 - 46 - 50 - 51 - 53 - 55 - 57 - 60,04 - 18 - 37 - 38 - 46 - 60,74740,149.48,9,44,110,166,116,46,9,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Aleatorio Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 1000,Elite 9 Banco Mestre,20,1000,2.024,33.733333,6,2165,02 - 04 - 05 - 10 - 11 - 12 - 13 - 27 - 33 - 34 - 35 - 37 - 42 - 43 - 44 - 46 - 49 - 53 - 54 - 56,05 - 37 - 43 - 49 - 54 - 56,14721,14.721,72,254,346,245,73,9,1,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Elite 9 Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 1000,Aleatorio Banco Mestre,20,1000,1.966,32.766667,5,1990,01 - 02 - 04 - 06 - 10 - 11 - 13 - 24 - 26 - 27 - 30 - 31 - 34 - 37 - 42 - 44 - 46 - 47 - 54 - 56,11 - 24 - 26 - 34 - 37 - 59,11417,11.417,97,250,347,214,80,12,0,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Elite 9 Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 1000,Elite 9 Banco Mestre,25,1000,2.563,42.716667,6,2024,04 - 05 - 08 - 10 - 16 - 17 - 20 - 23 - 24 - 28 - 29 - 30 - 32 - 33 - 34 - 35 - 36 - 39 - 42 - 43 - 47 - 52 - 53 - 54 - 59,16 - 20 - 23 - 29 - 35 - 47,50869,50.869,28,148,294,335,158,32,5,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Elite 9 Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
Ultimos 1000,Aleatorio Banco Mestre,25,1000,2.537,42.283333,6,2196,01 - 03 - 07 - 08 - 10 - 15 - 19 - 23 - 25 - 27 - 28 - 29 - 31 - 37 - 38 - 39 - 40 - 41 - 43 - 52 - 54 - 55 - 56 - 57 - 60,01 - 25 - 27 - 28 - 41 - 56,43297,43.297,31,150,302,329,147,38,3,Maior media: Elite 9 Banco Mestre banco 30. Mais 4 acertos: Elite 9 Banco Mestre banco 30. Mais 5 acertos: Elite 9 Banco Mestre banco 30. Mais 6 acertos: Aleatorio Banco Mestre banco 30. 20: Elite 9 superou o aleatorio; 25: Elite 9 superou o aleatorio; 30: Elite 9 superou o aleatorio
