Ranking,Jogo,Score,Diversidade,Soma,Pares,Impares,Faixas ocupadas,Padrao faixas,Cobertura dezenas,Cobertura dezenas (%),Cobertura pares,Cobertura pares (%),Cobertura faixas,Cobertura somas,Cobertura padroes
1,02 - 19 - 27 - 31 - 48 - 58,100.0,100.0,185,3,3,6,1 / 1 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
2,07 - 20 - 28 - 43 - 45 - 52,100.0,100.0,195,3,3,5,1 / 1 / 1 / 0 / 2 / 1,60,100.0,1203,67.9661,6,5,61
3,03 - 04 - 16 - 33 - 49 - 60,100.0,100.0,165,3,3,5,2 / 1 / 0 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
4,09 - 13 - 14 - 30 - 50 - 57,100.0,100.0,173,3,3,5,1 / 2 / 1 / 0 / 1 / 1,60,100.0,1203,67.9661,6,5,61
5,08 - 29 - 38 - 40 - 41 - 53,100.0,100.0,209,3,3,5,1 / 0 / 1 / 2 / 1 / 1,60,100.0,1203,67.9661,6,5,61
6,10 - 17 - 25 - 36 - 39 - 46,100.0,100.0,173,3,3,5,1 / 1 / 1 / 2 / 1 / 0,60,100.0,1203,67.9661,6,5,61
7,12 - 15 - 22 - 35 - 44 - 59,100.0,100.0,187,3,3,5,0 / 2 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
8,01 - 11 - 26 - 34 - 42 - 51,100.0,100.0,165,3,3,6,1 / 1 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
9,06 - 15 - 24 - 32 - 37 - 47,97.25,97.25,161,3,3,5,1 / 1 / 1 / 2 / 1 / 0,60,100.0,1203,67.9661,6,5,61
10,05 - 18 - 23 - 46 - 48 - 55,96.537,96.537,195,3,3,5,1 / 1 / 1 / 0 / 2 / 1,60,100.0,1203,67.9661,6,5,61
11,03 - 14 - 21 - 45 - 54 - 58,95.2333,95.2333,195,3,3,5,1 / 1 / 1 / 0 / 1 / 2,60,100.0,1203,67.9661,6,5,61
12,05 - 20 - 31 - 40 - 47 - 56,94.8333,94.8333,199,3,3,5,1 / 1 / 0 / 2 / 1 / 1,60,100.0,1203,67.9661,6,5,61
13,10 - 13 - 22 - 41 - 55 - 60,94.5,94.5,201,3,3,5,1 / 1 / 1 / 0 / 1 / 2,60,100.0,1203,67.9661,6,5,61
14,04 - 28 - 29 - 37 - 42 - 59,94.7821,94.7821,199,3,3,5,1 / 0 / 2 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
15,02 - 06 - 21 - 33 - 50 - 53,95.0238,95.0238,165,3,3,5,2 / 0 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
16,11 - 18 - 30 - 31 - 49 - 54,94.7444,94.7444,193,3,3,5,0 / 2 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
17,08 - 16 - 26 - 27 - 45 - 57,94.9583,94.9583,179,3,3,5,1 / 1 / 2 / 0 / 1 / 1,60,100.0,1203,67.9661,6,5,61
18,07 - 12 - 23 - 32 - 41 - 56,95.1471,95.1471,171,3,3,6,1 / 1 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
19,09 - 18 - 24 - 39 - 42 - 43,94.9074,94.9074,175,3,3,5,1 / 1 / 1 / 1 / 2 / 0,60,100.0,1203,67.9661,6,5,61
20,05 - 19 - 38 - 44 - 49 - 52,95.0789,95.0789,207,3,3,5,1 / 1 / 0 / 1 / 2 / 1,60,100.0,1203,67.9661,6,5,61
21,01 - 17 - 27 - 40 - 54 - 60,94.5,94.5,199,3,3,5,1 / 1 / 1 / 1 / 0 / 2,60,100.0,1203,67.9661,6,5,61
22,03 - 13 - 28 - 44 - 48 - 51,94.3254,94.3254,187,3,3,5,1 / 1 / 1 / 0 / 2 / 1,60,100.0,1203,67.9661,6,5,61
23,01 - 08 - 23 - 37 - 50 - 52,94.1667,94.1667,171,3,3,5,2 / 0 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
24,06 - 09 - 29 - 36 - 49 - 56,94.3406,94.3406,185,3,3,5,2 / 0 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
25,04 - 17 - 22 - 31 - 38 - 57,94.1944,94.1944,169,3,3,5,1 / 1 / 1 / 2 / 0 / 1,60,100.0,1203,67.9661,6,5,61
26,02 - 29 - 30 - 39 - 47 - 60,94.06,94.06,207,3,3,5,1 / 0 / 2 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
27,07 - 09 - 16 - 37 - 48 - 54,93.6538,93.6538,171,3,3,5,2 / 1 / 0 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
28,04 - 19 - 23 - 34 - 35 - 58,93.0741,93.0741,173,3,3,5,1 / 1 / 1 / 2 / 0 / 1,60,100.0,1203,67.9661,6,5,61
29,03 - 14 - 24 - 25 - 40 - 55,92.9286,92.9286,161,3,3,5,1 / 1 / 2 / 1 / 0 / 1,60,100.0,1203,67.9661,6,5,61
30,08 - 15 - 20 - 25 - 42 - 51,92.7931,92.7931,161,3,3,5,1 / 2 / 1 / 0 / 1 / 1,60,100.0,1203,67.9661,6,5,61
31,10 - 18 - 24 - 33 - 57 - 59,92.6667,92.6667,201,3,3,5,1 / 1 / 1 / 1 / 0 / 2,60,100.0,1203,67.9661,6,5,61
32,12 - 27 - 28 - 34 - 43 - 55,92.7849,92.7849,199,3,3,5,0 / 1 / 2 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
33,01 - 14 - 19 - 36 - 46 - 53,92.8958,92.8958,169,3,3,5,1 / 2 / 0 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
34,04 - 11 - 25 - 26 - 43 - 56,92.5556,92.5556,165,3,3,5,1 / 1 / 2 / 0 / 1 / 1,60,100.0,1203,67.9661,6,5,61
35,05 - 11 - 32 - 33 - 42 - 58,92.451,92.451,181,3,3,5,1 / 1 / 0 / 2 / 1 / 1,60,100.0,1203,67.9661,6,5,61
36,16 - 19 - 30 - 40 - 41 - 59,92.1429,92.1429,205,3,3,5,0 / 2 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
37,09 - 17 - 26 - 32 - 44 - 53,94.2963,94.2963,181,3,3,6,1 / 1 / 1 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
38,02 - 12 - 14 - 37 - 49 - 57,91.973,91.973,171,3,3,5,1 / 2 / 0 / 1 / 1 / 1,60,100.0,1203,67.9661,6,5,61
39,05 - 14 - 26 - 38 - 39 - 59,91.8947,91.8947,181,3,3,5,1 / 1 / 1 / 2 / 0 / 1,60,100.0,1203,67.9661,6,5,61
40,13 - 24 - 33 - 36 - 45 - 52,92.5726,92.5726,203,3,3,5,0 / 1 / 1 / 2 / 1 / 1,60,100.0,1203,67.9661,6,5,61
