Ranking,Jogo,Score premiacao,Score pico,Score diversidade,Score final,Soma,Pares,Impares,Faixas
1,14 - 22 - 29 - 33 - 35 - 46,1169.0,2149.0,95.0,1399.9,179,3,3,0 / 1 / 2 / 2 / 1 / 0
2,01 - 10 - 17 - 30 - 37 - 50,848.0,1708.0,95.0,1079.05,145,3,3,2 / 1 / 1 / 1 / 1 / 0
3,14 - 22 - 29 - 32 - 35 - 43,808.0,1598.0,79.8333,1014.775,175,3,3,0 / 1 / 2 / 2 / 1 / 0
4,10 - 23 - 34 - 53 - 55 - 60,804.0,1599.0,86.8889,1014.4333,235,3,3,1 / 0 / 1 / 1 / 0 / 3
5,10 - 11 - 43 - 53 - 55 - 60,802.0,1592.0,73.875,1008.7812,232,2,4,1 / 1 / 0 / 0 / 1 / 3
6,01 - 29 - 32 - 35 - 43 - 56,793.0,1563.0,83.4667,994.57,196,2,4,1 / 0 / 1 / 2 / 1 / 1
7,10 - 14 - 15 - 24 - 44 - 47,784.0,1574.0,81.8472,994.6771,154,4,2,1 / 2 / 1 / 0 / 2 / 0
8,01 - 17 - 29 - 30 - 37 - 50,779.0,1549.0,83.0,982.6,164,2,4,1 / 1 / 2 / 1 / 1 / 0
9,01 - 04 - 27 - 36 - 37 - 45,782.0,1542.0,80.9479,980.8422,150,2,4,2 / 0 / 1 / 2 / 1 / 0
10,10 - 11 - 25 - 27 - 42 - 46,793.0,1513.0,88.3241,975.2986,161,3,3,1 / 1 / 2 / 0 / 2 / 0
11,09 - 11 - 16 - 24 - 43 - 57,781.0,1521.0,91.05,973.5075,160,2,4,1 / 2 / 1 / 0 / 1 / 1
12,08 - 27 - 36 - 37 - 40 - 45,765.0,1515.0,85.4015,963.0602,193,3,3,1 / 0 / 1 / 3 / 1 / 0
13,10 - 13 - 20 - 37 - 38 - 50,774.0,1504.0,83.0069,962.351,168,4,2,1 / 2 / 0 / 2 / 1 / 0
14,10 - 11 - 13 - 21 - 46 - 50,771.0,1506.0,80.0385,961.3558,151,3,3,1 / 2 / 1 / 0 / 2 / 0
15,02 - 19 - 43 - 44 - 46 - 60,775.0,1495.0,85.5833,959.5875,214,4,2,1 / 1 / 0 / 0 / 3 / 1
16,04 - 27 - 35 - 38 - 52 - 56,765.0,1480.0,86.05,949.1575,212,4,2,1 / 0 / 1 / 2 / 0 / 2
17,09 - 10 - 39 - 42 - 46 - 54,759.0,1484.0,83.4323,947.6648,200,4,2,2 / 0 / 0 / 1 / 2 / 1
18,10 - 13 - 16 - 36 - 53 - 57,758.0,1478.0,87.6569,945.4485,185,3,3,1 / 2 / 0 / 1 / 0 / 2
19,04 - 13 - 36 - 40 - 43 - 53,750.0,1475.0,90.8935,941.134,189,3,3,1 / 1 / 0 / 2 / 1 / 1
20,14 - 22 - 29 - 35 - 46 - 49,752.0,1462.0,82.3816,935.5572,195,3,3,0 / 1 / 2 / 1 / 2 / 0
21,07 - 10 - 11 - 21 - 46 - 50,750.0,1465.0,76.35,934.9525,145,3,3,2 / 1 / 1 / 0 / 2 / 0
22,04 - 29 - 30 - 43 - 52 - 59,747.0,1467.0,83.1944,935.4292,217,3,3,1 / 0 / 2 / 0 / 1 / 2
23,04 - 29 - 30 - 43 - 52 - 54,748.0,1463.0,78.9811,933.6472,212,4,2,1 / 0 / 2 / 0 / 1 / 2
24,02 - 19 - 23 - 34 - 53 - 57,746.0,1461.0,89.9746,933.5962,188,2,4,1 / 1 / 1 / 1 / 0 / 2
25,08 - 09 - 11 - 39 - 48 - 53,746.0,1461.0,91.1181,933.7677,168,2,4,2 / 1 / 0 / 1 / 1 / 1
26,10 - 13 - 39 - 42 - 46 - 54,748.0,1453.0,83.84,930.376,204,4,2,1 / 1 / 0 / 1 / 2 / 1
27,10 - 11 - 21 - 29 - 46 - 50,744.0,1454.0,80.125,928.4188,167,3,3,1 / 1 / 2 / 0 / 2 / 0
28,01 - 04 - 17 - 30 - 37 - 50,741.0,1456.0,82.3179,928.1977,139,3,3,2 / 1 / 1 / 1 / 1 / 0
29,09 - 10 - 13 - 25 - 46 - 54,755.0,1435.0,88.1875,926.9781,157,3,3,2 / 1 / 1 / 0 / 1 / 1
30,06 - 11 - 43 - 53 - 55 - 60,744.0,1449.0,74.5891,925.5884,228,2,4,1 / 1 / 0 / 0 / 1 / 3
31,10 - 13 - 20 - 37 - 38 - 60,741.0,1431.0,78.8944,917.6842,178,4,2,1 / 2 / 0 / 2 / 0 / 1
32,06 - 07 - 26 - 31 - 46 - 52,732.0,1437.0,91.5242,917.9286,168,4,2,2 / 0 / 1 / 1 / 1 / 1
33,05 - 13 - 39 - 42 - 46 - 54,730.0,1420.0,87.6771,909.6516,199,3,3,1 / 1 / 0 / 1 / 2 / 1
34,14 - 22 - 29 - 35 - 46 - 50,733.0,1403.0,78.4242,902.8136,196,4,2,0 / 1 / 2 / 1 / 2 / 0
35,14 - 22 - 29 - 35 - 46 - 47,730.0,1405.0,81.6863,902.7529,193,3,3,0 / 1 / 2 / 1 / 2 / 0
36,10 - 11 - 21 - 46 - 50 - 53,731.0,1401.0,84.95,902.0925,191,3,3,1 / 1 / 1 / 0 / 2 / 1
