Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1965,Aleatorio,100,57,0.57,3,26 - 46 - 48 - 49 - 54 - 55,26 - 28 - 35 - 38 - 48 - 55,13,0.13,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1965,Motor Elite 9,100,62,0.62,2,04 - 27 - 35 - 38 - 52 - 56,26 - 28 - 35 - 38 - 48 - 55,11,0.11,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
1966,Aleatorio,100,68,0.68,3,08 - 13 - 19 - 30 - 49 - 60,10 - 13 - 19 - 32 - 40 - 60,21,0.21,16,16.0,1,1.0,0,0.0,0,0.0,0,0.0
1966,Motor Elite 9,100,93,0.93,4,10 - 13 - 20 - 32 - 37 - 60,10 - 13 - 19 - 32 - 40 - 60,95,0.95,20,20.0,5,5.0,1,1.0,0,0.0,0,0.0
1967,Aleatorio,100,51,0.51,2,03 - 18 - 25 - 39 - 41 - 46,13 - 30 - 32 - 39 - 46 - 54,6,0.06,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0
1967,Motor Elite 9,100,96,0.96,4,10 - 13 - 39 - 42 - 46 - 54,13 - 30 - 32 - 39 - 46 - 54,135,1.35,10,10.0,5,5.0,2,2.0,0,0.0,0,0.0
1968,Aleatorio,100,65,0.65,3,01 - 24 - 39 - 44 - 52 - 53,35 - 36 - 39 - 44 - 48 - 52,22,0.22,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
1968,Motor Elite 9,100,64,0.64,2,04 - 27 - 35 - 38 - 52 - 56,35 - 36 - 39 - 44 - 48 - 52,8,0.08,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1969,Aleatorio,100,43,0.43,2,02 - 12 - 16 - 20 - 30 - 57,08 - 20 - 30 - 32 - 48 - 59,10,0.1,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1969,Motor Elite 9,100,38,0.38,2,04 - 29 - 30 - 43 - 52 - 59,08 - 20 - 30 - 32 - 48 - 59,4,0.04,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
1970,Aleatorio,100,71,0.71,3,24 - 26 - 32 - 34 - 39 - 52,05 - 10 - 18 - 24 - 39 - 52,15,0.15,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1970,Motor Elite 9,100,72,0.72,3,10 - 13 - 18 - 39 - 43 - 56,05 - 10 - 18 - 24 - 39 - 52,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1971,Aleatorio,100,57,0.57,3,04 - 43 - 50 - 52 - 54 - 60,04 - 10 - 41 - 44 - 52 - 54,11,0.11,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1971,Motor Elite 9,100,87,0.87,3,04 - 29 - 30 - 43 - 52 - 54,04 - 10 - 41 - 44 - 52 - 54,19,0.19,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
1972,Aleatorio,100,50,0.5,2,09 - 26 - 29 - 40 - 49 - 59,09 - 16 - 20 - 54 - 57 - 59,7,0.07,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1972,Motor Elite 9,100,55,0.55,3,09 - 11 - 16 - 24 - 43 - 57,09 - 16 - 20 - 54 - 57 - 59,26,0.26,6,6.0,4,4.0,0,0.0,0,0.0,0,0.0
1973,Aleatorio,100,57,0.57,3,01 - 03 - 06 - 12 - 52 - 56,01 - 12 - 16 - 17 - 52 - 60,17,0.17,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1973,Motor Elite 9,100,58,0.58,2,01 - 10 - 17 - 30 - 37 - 50,01 - 12 - 16 - 17 - 52 - 60,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1974,Aleatorio,100,61,0.61,3,04 - 13 - 27 - 51 - 54 - 55,04 - 19 - 27 - 38 - 54 - 57,19,0.19,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
