Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2465,Motor Elite 7,100,65,0.65,3,03 - 07 - 29 - 36 - 51 - 54,03 - 08 - 23 - 29 - 53 - 54,11,11.0,3,3.0,0,0.0,0,0.0,0,0.0
2465,Aleatorio,100,65,0.65,3,03 - 11 - 15 - 28 - 29 - 54,03 - 08 - 23 - 29 - 53 - 54,11,11.0,2,2.0,0,0.0,0,0.0,0,0.0
2466,Motor Elite 7,100,56,0.56,3,02 - 13 - 30 - 37 - 44 - 53,02 - 03 - 13 - 20 - 53 - 54,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2466,Aleatorio,100,69,0.69,3,03 - 09 - 20 - 51 - 53 - 56,02 - 03 - 13 - 20 - 53 - 54,17,17.0,2,2.0,0,0.0,0,0.0,0,0.0
2467,Motor Elite 7,100,58,0.58,3,02 - 26 - 34 - 35 - 38 - 45,01 - 10 - 19 - 34 - 35 - 45,6,6.0,3,3.0,0,0.0,0,0.0,0,0.0
2467,Aleatorio,100,56,0.56,2,06 - 10 - 19 - 23 - 30 - 51,01 - 10 - 19 - 34 - 35 - 45,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2468,Motor Elite 7,100,54,0.54,2,10 - 13 - 26 - 41 - 54 - 57,22 - 35 - 41 - 42 - 53 - 57,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2468,Aleatorio,100,67,0.67,3,10 - 29 - 42 - 48 - 53 - 57,22 - 35 - 41 - 42 - 53 - 57,11,11.0,2,2.0,0,0.0,0,0.0,0,0.0
2469,Motor Elite 7,100,62,0.62,3,05 - 30 - 35 - 44 - 46 - 52,05 - 28 - 30 - 38 - 52 - 55,12,12.0,2,2.0,0,0.0,0,0.0,0,0.0
2469,Aleatorio,100,74,0.74,2,27 - 34 - 38 - 40 - 52 - 54,05 - 28 - 30 - 38 - 52 - 55,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0
2470,Motor Elite 7,100,56,0.56,2,05 - 23 - 24 - 40 - 42 - 60,08 - 33 - 40 - 42 - 48 - 51,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2470,Aleatorio,100,71,0.71,3,13 - 33 - 34 - 42 - 43 - 51,08 - 33 - 40 - 42 - 48 - 51,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2471,Motor Elite 7,100,52,0.52,3,08 - 15 - 29 - 40 - 41 - 55,08 - 23 - 29 - 30 - 36 - 55,7,7.0,2,2.0,0,0.0,0,0.0,0,0.0
2471,Aleatorio,100,56,0.56,3,05 - 09 - 23 - 29 - 33 - 36,08 - 23 - 29 - 30 - 36 - 55,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2472,Motor Elite 7,100,55,0.55,2,09 - 13 - 23 - 40 - 41 - 56,05 - 13 - 18 - 23 - 35 - 36,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2472,Aleatorio,100,55,0.55,3,02 - 13 - 35 - 36 - 47 - 48,05 - 13 - 18 - 23 - 35 - 36,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
2473,Motor Elite 7,100,63,0.63,3,03 - 13 - 15 - 28 - 44 - 55,15 - 18 - 28 - 42 - 55 - 60,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2473,Aleatorio,100,59,0.59,2,27 - 36 - 39 - 40 - 42 - 55,15 - 18 - 28 - 42 - 55 - 60,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2474,Motor Elite 7,100,69,0.69,3,09 - 11 - 30 - 49 - 54 - 56,22 - 30 - 38 - 39 - 49 - 56,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2474,Aleatorio,100,64,0.64,3,03 - 06 - 27 - 30 - 38 - 56,22 - 30 - 38 - 39 - 49 - 56,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
2475,Motor Elite 7,100,51,0.51,2,01 - 16 - 24 - 33 - 39 - 44,01 - 40 - 44 - 45 - 58 - 60,6,6.0,0,0.0,0,0.0,0,0.0,0,0.0
2475,Aleatorio,100,64,0.64,3,13 - 44 - 45 - 50 - 53 - 60,01 - 40 - 44 - 45 - 58 - 60,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
2476,Motor Elite 7,100,63,0.63,2,01 - 07 - 16 - 48 - 53 - 55,02 - 07 - 32 - 46 - 49 - 55,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2476,Aleatorio,100,62,0.62,3,07 - 32 - 35 - 46 - 47 - 51,02 - 07 - 32 - 46 - 49 - 55,13,13.0,1,1.0,0,0.0,0,0.0,0,0.0
