Ranking,Motor,Jogo,Score Neural Elite X,Confianca,Score,Score Base,Score Correlação,Score Final,Score Estratégico,Score Diversidade,Distância Média,Repetidas Último Concurso,Score Repetição,Score Soma,Score Distribuição,Soma,Pares,Ímpares,Classificação
1,Elite X PRO,10 - 11 - 30 - 37 - 49 - 60,78.8,Alta,79.76,74.06,41.56,79.76,100.0,100.0,6.0,2,100.0,100.0,100.0,197,3,3,Excelente
2,Elite X PRO,04 - 09 - 27 - 38 - 45 - 54,71.82,Media,73.36,73.53,36.24,73.36,94.75,73.38,5.17,1,85.0,100.0,100.0,177,3,3,Muito Forte
3,Elite X PRO,09 - 10 - 27 - 36 - 39 - 60,71.72,Media,70.84,70.49,36.1,70.84,95.5,71.93,4.86,2,100.0,100.0,85.0,181,3,3,Muito Forte
4,Elite X PRO,09 - 10 - 15 - 42 - 53 - 54,71.68,Media,70.8,72.61,33.29,70.8,95.5,70.84,4.76,2,100.0,100.0,85.0,183,3,3,Muito Forte
5,Elite X PRO,09 - 10 - 15 - 34 - 58 - 59,71.64,Media,70.28,68.17,37.3,70.28,95.5,74.8,5.06,2,100.0,100.0,85.0,185,3,3,Muito Forte
6,Elite X PRO,09 - 14 - 30 - 37 - 44 - 45,71.33,Media,72.63,73.87,38.91,72.63,100.0,56.67,4.0,2,100.0,100.0,100.0,179,3,3,Muito Forte
7,Elite X PRO,10 - 15 - 35 - 38 - 44 - 45,71.32,Media,70.49,70.1,43.37,70.49,90.25,73.15,4.96,1,85.0,100.0,85.0,187,3,3,Muito Forte
8,Elite X PRO,03 - 15 - 21 - 42 - 44 - 56,71.21,Media,71.99,69.48,30.31,71.99,100.0,72.17,5.11,2,100.0,100.0,100.0,181,3,3,Muito Forte
9,Elite X PRO,03 - 08 - 37 - 39 - 42 - 60,71.01,Media,69.87,68.77,36.76,69.87,95.5,73.47,5.02,2,100.0,100.0,85.0,189,3,3,Muito Forte
10,Elite X PRO,10 - 15 - 35 - 38 - 40 - 47,70.94,Media,69.99,68.4,41.06,69.99,90.25,75.2,5.1,1,85.0,100.0,85.0,185,3,3,Muito Forte
11,Elite X PRO,01 - 13 - 21 - 40 - 44 - 60,70.68,Media,73.1,70.44,32.36,73.1,94.75,71.96,5.29,1,85.0,100.0,100.0,179,3,3,Muito Forte
12,Elite X PRO,05 - 15 - 30 - 33 - 44 - 52,70.59,Media,72.58,69.26,33.24,72.58,100.0,63.38,4.67,2,100.0,100.0,100.0,179,3,3,Muito Forte
13,Elite X PRO,04 - 13 - 14 - 39 - 49 - 60,70.55,Media,72.22,72.73,30.52,72.22,94.75,72.78,5.12,1,85.0,100.0,100.0,179,3,3,Muito Forte
14,Elite X PRO,08 - 17 - 20 - 21 - 37 - 60,70.48,Media,70.59,68.4,37.21,70.59,93.0,76.53,5.36,2,100.0,80.0,100.0,163,3,3,Muito Forte
15,Elite X PRO,10 - 18 - 23 - 30 - 37 - 59,70.46,Media,71.79,69.95,40.32,71.79,94.75,67.08,4.67,1,85.0,100.0,100.0,177,3,3,Muito Forte
16,Elite X PRO,10 - 15 - 19 - 39 - 42 - 52,70.36,Media,71.85,70.64,32.36,71.85,94.75,74.44,5.25,1,85.0,100.0,100.0,177,3,3,Muito Forte
17,Elite X PRO,09 - 10 - 14 - 46 - 47 - 60,70.34,Media,69.04,66.84,41.15,69.04,95.5,73.33,4.98,2,100.0,100.0,85.0,186,4,2,Muito Forte
18,Elite X PRO,01 - 17 - 30 - 39 - 40 - 44,70.27,Media,71.28,68.48,36.0,71.28,100.0,68.33,4.8,2,100.0,100.0,100.0,171,3,3,Muito Forte
19,Elite X PRO,01 - 09 - 27 - 46 - 48 - 60,70.15,Media,69.18,68.66,33.83,69.18,95.5,73.47,4.98,2,100.0,100.0,85.0,191,3,3,Muito Forte
20,Elite X PRO,07 - 09 - 19 - 40 - 46 - 54,70.11,Media,71.52,69.44,34.38,71.52,94.75,74.04,5.22,1,85.0,100.0,100.0,175,3,3,Muito Forte
21,Elite X PRO,11 - 13 - 30 - 36 - 37 - 56,70.06,Media,69.4,69.81,36.93,69.4,90.25,71.2,4.76,1,85.0,100.0,85.0,183,3,3,Muito Forte
22,Elite X PRO,03 - 14 - 27 - 32 - 54 - 59,70.05,Media,70.87,67.45,34.94,70.87,94.75,76.2,5.32,1,85.0,100.0,100.0,189,3,3,Muito Forte
23,Elite X PRO,09 - 11 - 26 - 38 - 39 - 48,70.02,Media,71.55,70.1,35.04,71.55,94.75,74.29,5.25,1,85.0,100.0,100.0,171,3,3,Muito Forte
24,Elite X PRO,09 - 21 - 24 - 33 - 38 - 56,69.96,Media,69.43,68.41,36.47,69.43,90.25,74.13,5.02,1,85.0,100.0,85.0,181,3,3,Muito Forte
25,Elite X PRO,09 - 11 - 24 - 36 - 49 - 58,69.93,Media,72.1,70.24,31.07,72.1,94.75,70.67,5.2,1,85.0,100.0,100.0,187,3,3,Muito Forte
26,Elite X PRO,08 - 15 - 30 - 37 - 45 - 48,69.9,Media,70.79,71.68,37.36,70.79,100.0,52.5,3.75,2,100.0,100.0,100.0,183,3,3,Muito Forte
27,Elite X PRO,03 - 13 - 30 - 37 - 42 - 54,69.88,Media,72.41,73.2,32.79,72.41,100.0,53.33,4.0,2,100.0,100.0,100.0,179,3,3,Muito Forte
28,Elite X PRO,03 - 10 - 35 - 38 - 42 - 59,69.78,Media,68.95,67.38,37.38,68.95,90.25,75.87,5.2,1,85.0,100.0,85.0,187,3,3,Muito Forte
29,Elite X PRO,09 - 11 - 27 - 33 - 38 - 56,69.77,Media,71.16,68.96,41.03,71.16,94.75,73.37,5.15,1,85.0,100.0,100.0,174,2,4,Muito Forte
30,Elite X PRO,04 - 15 - 30 - 36 - 39 - 44,69.77,Media,69.94,68.83,43.6,69.94,93.0,68.62,4.8,2,100.0,80.0,100.0,168,4,2,Muito Forte
31,Elite X PRO,10 - 19 - 30 - 36 - 39 - 49,69.74,Media,70.87,70.42,32.77,70.87,94.75,67.96,4.77,1,85.0,100.0,100.0,183,3,3,Muito Forte
32,Elite X PRO,01 - 09 - 27 - 37 - 44 - 60,69.72,Media,71.12,72.03,37.4,71.12,100.0,60.42,4.25,2,100.0,100.0,100.0,178,2,4,Muito Forte
33,Elite X PRO,03 - 15 - 28 - 34 - 47 - 51,69.7,Media,71.11,62.23,34.23,71.11,100.0,77.05,5.61,2,100.0,100.0,100.0,178,2,4,Muito Forte
34,Elite X PRO,09 - 13 - 30 - 35 - 42 - 53,69.66,Media,71.74,71.07,34.39,71.74,100.0,60.0,4.4,2,100.0,100.0,100.0,182,2,4,Muito Forte
35,Elite X PRO,06 - 15 - 27 - 30 - 49 - 54,69.6,Media,70.86,71.51,27.93,70.86,100.0,62.42,4.36,2,100.0,100.0,100.0,181,3,3,Muito Forte
36,Elite X PRO,08 - 15 - 33 - 35 - 46 - 54,69.58,Media,70.78,69.9,32.6,70.78,94.75,73.4,5.17,1,85.0,100.0,100.0,191,3,3,Muito Forte
37,Elite X PRO,13 - 17 - 18 - 32 - 35 - 60,69.58,Media,66.26,63.86,36.1,66.26,86.5,81.67,5.34,2,100.0,100.0,55.0,175,3,3,Muito Forte
38,Elite X PRO,09 - 11 - 18 - 30 - 46 - 59,69.54,Media,70.68,68.47,30.93,70.68,100.0,68.65,4.81,2,100.0,100.0,100.0,173,3,3,Muito Forte
39,Elite X PRO,07 - 17 - 18 - 39 - 46 - 52,69.51,Media,70.56,65.46,31.61,70.56,94.75,77.8,5.48,1,85.0,100.0,100.0,179,3,3,Muito Forte
40,Elite X PRO,09 - 17 - 18 - 27 - 42 - 52,69.51,Media,69.9,69.39,31.61,69.9,93.0,74.47,5.22,2,100.0,80.0,100.0,165,3,3,Muito Forte
41,Elite X PRO,05 - 17 - 24 - 40 - 45 - 48,69.42,Media,70.65,66.89,29.17,70.65,94.75,77.67,5.46,1,85.0,100.0,100.0,179,3,3,Muito Forte
42,Elite X PRO,10 - 13 - 24 - 31 - 39 - 60,69.39,Media,71.09,71.03,29.75,71.09,94.75,71.26,5.0,1,85.0,100.0,100.0,177,3,3,Muito Forte
43,Elite X PRO,06 - 15 - 21 - 39 - 44 - 54,69.36,Media,72.08,70.95,27.1,72.08,94.75,69.67,5.1,1,85.0,100.0,100.0,179,3,3,Muito Forte
44,Elite X PRO,01 - 15 - 30 - 35 - 46 - 53,69.34,Media,71.31,67.22,34.92,71.31,100.0,64.58,4.73,2,100.0,100.0,100.0,180,2,4,Muito Forte
45,Elite X PRO,03 - 06 - 30 - 37 - 48 - 56,69.34,Media,70.44,68.43,31.17,70.44,100.0,70.1,4.92,2,100.0,100.0,100.0,180,4,2,Muito Forte
46,Elite X PRO,09 - 14 - 35 - 38 - 44 - 56,69.32,Media,70.52,69.54,43.42,70.52,94.75,70.92,4.97,1,85.0,100.0,100.0,196,4,2,Muito Forte
47,Elite X PRO,07 - 10 - 15 - 34 - 47 - 54,69.3,Media,70.0,69.86,37.32,70.0,87.75,73.67,5.2,1,85.0,80.0,100.0,167,3,3,Muito Forte
48,Elite X PRO,17 - 24 - 27 - 30 - 38 - 53,69.29,Media,68.24,66.68,30.19,68.24,95.5,74.73,4.98,2,100.0,100.0,85.0,189,3,3,Muito Forte
49,Elite X PRO,08 - 12 - 21 - 39 - 47 - 60,69.25,Media,71.17,66.73,28.65,71.17,94.75,75.42,5.49,1,85.0,100.0,100.0,187,3,3,Muito Forte
50,Elite X PRO,14 - 21 - 27 - 30 - 35 - 54,69.23,Media,68.75,67.76,35.11,68.75,90.25,72.6,4.82,1,85.0,100.0,85.0,181,3,3,Muito Forte
51,Elite X PRO,04 - 21 - 31 - 32 - 37 - 60,69.2,Media,68.56,68.01,30.12,68.56,90.25,78.47,5.32,1,85.0,100.0,85.0,185,3,3,Muito Forte
52,Elite X PRO,15 - 23 - 32 - 35 - 36 - 48,69.2,Media,68.3,65.46,35.27,68.3,90.25,79.53,5.38,1,85.0,100.0,85.0,189,3,3,Muito Forte
53,Elite X PRO,03 - 19 - 24 - 40 - 48 - 53,69.19,Media,71.29,68.26,28.18,71.29,94.75,73.08,5.34,1,85.0,100.0,100.0,187,3,3,Muito Forte
54,Elite X PRO,09 - 11 - 27 - 33 - 52 - 60,69.19,Media,70.1,69.07,32.58,70.1,100.0,71.67,4.98,2,100.0,100.0,100.0,192,2,4,Muito Forte
55,Elite X PRO,03 - 14 - 30 - 45 - 47 - 52,69.17,Media,69.91,67.44,26.47,69.91,100.0,73.13,5.12,2,100.0,100.0,100.0,191,3,3,Muito Forte
56,Elite X PRO,07 - 15 - 24 - 31 - 46 - 54,69.16,Media,71.54,67.53,30.55,71.54,94.75,71.63,5.27,1,85.0,100.0,100.0,177,3,3,Muito Forte
57,Elite X PRO,01 - 09 - 24 - 46 - 53 - 56,69.13,Media,68.54,68.35,36.29,68.54,90.25,73.13,4.94,1,85.0,100.0,85.0,189,3,3,Muito Forte
58,Elite X PRO,10 - 15 - 19 - 42 - 44 - 49,69.12,Media,66.53,67.94,39.99,66.53,81.25,74.2,4.8,1,85.0,100.0,55.0,179,3,3,Muito Forte
59,Elite X PRO,05 - 17 - 19 - 38 - 52 - 54,69.09,Media,68.15,65.2,32.13,68.15,90.25,80.27,5.44,1,85.0,100.0,85.0,185,3,3,Muito Forte
60,Elite X PRO,03 - 04 - 09 - 53 - 54 - 56,69.08,Media,64.89,66.7,33.86,64.89,77.5,77.87,4.86,2,100.0,100.0,25.0,179,3,3,Forte
61,Elite X PRO,08 - 09 - 11 - 24 - 49 - 60,69.05,Media,69.81,71.97,33.86,69.81,93.0,67.64,4.74,2,100.0,80.0,100.0,161,3,3,Muito Forte
62,Elite X PRO,09 - 21 - 30 - 37 - 39 - 44,69.04,Media,68.59,69.28,37.35,68.59,95.5,65.13,4.36,2,100.0,100.0,85.0,180,2,4,Muito Forte
63,Elite X PRO,03 - 13 - 24 - 38 - 45 - 54,69.03,Media,71.8,70.76,27.74,71.8,94.75,68.72,5.06,1,85.0,100.0,100.0,177,3,3,Muito Forte
64,Elite X PRO,06 - 17 - 37 - 42 - 49 - 56,69.0,Media,69.6,71.1,40.21,69.6,87.75,73.0,5.12,1,85.0,80.0,100.0,207,3,3,Muito Forte
