Ranking,Dezena,Score Mestre,Score base normalizado,Score correlacao,Score regularidade,Score atraso,Atraso,Regularidade
1,37,71.38,100.0,66.51428571428572,44.777841892671674,29.166666666666668,7,7.76
2,53,64.41,62.73212922920376,79.65714285714286,88.05539526832084,4.166666666666666,1,15.26
3,10,62.64,81.8366827779191,100.0,8.19388343912291,12.5,3,1.42
4,13,60.93,85.60162808445689,56.8,45.75879976918639,12.5,3,7.93
5,4,60.87,86.72093614856271,54.628571428571426,13.329486439699945,62.5,15,2.31
6,54,58.12,74.917323836174,39.42857142857143,54.18349682631276,45.83333333333333,11,9.39
7,27,56.12,53.67590943780208,57.48571428571429,44.54702827466821,79.16666666666666,19,7.72
8,9,51.59,99.16051895192064,15.2,30.698211194460477,0.0,0,5.32
9,30,49.61,51.76799796489442,52.68571428571428,73.45643392960186,0.0,0,12.73
10,35,49.23,53.4978377003307,41.14285714285714,68.84016156953261,20.833333333333336,5,11.93
11,1,48.54,50.97939455609261,37.48571428571428,61.684939411425276,41.66666666666667,10,10.69
12,33,47.56,56.44874077842788,57.14285714285714,42.41200230813618,8.333333333333332,2,7.35
13,5,46.61,36.631900279827015,59.08571428571429,52.452394691286784,45.83333333333333,11,9.09
14,44,45.05,66.80234037140677,55.2,13.271783035199078,4.166666666666666,1,2.3
15,48,44.19,53.167133045026716,26.74285714285714,56.895556837853434,29.166666666666668,7,9.86
16,24,43.87,56.32154668023402,33.48571428571429,37.564916330063475,33.33333333333333,8,6.51
17,52,42.32,49.834647672348,27.54285714285714,53.54875937680323,29.166666666666668,7,9.28
18,11,42.27,47.34164334774867,57.028571428571425,0.0,62.5,15,0.0
