Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 10,2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 10,2955,Elite 9,50,41,0.82,3,05 - 21 - 33 - 40 - 46 - 59,09 - 13 - 21 - 32 - 33 - 59,17,0,0.0,0,0.0,0,0.0,83.333333,23.220339,2.349503,0.14273,16.394558
Ultimos 10,2955,Elite X,100,63,0.63,2,09 - 10 - 32 - 36 - 41 - 43,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,100.0,43.990148,5.473454,19.387205
Ultimos 10,2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 10,2956,Elite 9,50,42,0.84,3,10 - 12 - 13 - 21 - 47 - 56,10 - 18 - 21 - 24 - 43 - 47,13,0,0.0,0,0.0,0,0.0,75.0,21.186441,2.276447,0.139859,17.482993
Ultimos 10,2956,Elite X,100,46,0.46,2,01 - 11 - 24 - 37 - 43 - 46,10 - 18 - 21 - 24 - 43 - 47,6,0,0.0,0,0.0,0,0.0,100.0,99.770115,44.236453,5.473454,19.363636
Ultimos 10,2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 10,2957,Elite 9,50,23,0.46,2,12 - 13 - 21 - 32 - 37 - 48,19 - 28 - 36 - 37 - 48 - 52,4,0,0.0,0,0.0,0,0.0,78.333333,20.282486,2.258913,0.14232,20.721088
Ultimos 10,2957,Elite X,100,78,0.78,3,05 - 06 - 27 - 36 - 37 - 48,19 - 28 - 36 - 37 - 48 - 52,23,0,0.0,0,0.0,0,0.0,100.0,100.0,44.384236,5.473454,19.350168
Ultimos 10,2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0,0.0,0,0.0,0,0.0,100.0,57.570621,5.6955,0.307402,9.794613
Ultimos 10,2958,Elite 9,50,33,0.66,2,09 - 14 - 21 - 33 - 44 - 60,07 - 09 - 14 - 35 - 42 - 49,5,0,0.0,0,0.0,0,0.0,70.0,19.548023,2.162478,0.137808,20.163265
Ultimos 10,2958,Elite X,100,79,0.79,3,03 - 05 - 35 - 42 - 46 - 49,07 - 09 - 14 - 35 - 42 - 49,25,0,0.0,0,0.0,0,0.0,100.0,99.770115,43.965517,5.473454,19.343434
Ultimos 10,2959,Aleatorio,100,59,0.59,3,21 - 26 - 43 - 44 - 45 - 53,18 - 26 - 35 - 41 - 44 - 45,19,0,0.0,0,0.0,0,0.0,100.0,57.909605,5.669199,0.307197,9.784512
Ultimos 10,2959,Elite 9,50,37,0.74,2,04 - 13 - 32 - 35 - 41 - 59,18 - 26 - 35 - 41 - 44 - 45,9,0,0.0,0,0.0,0,0.0,83.333333,21.073446,2.279369,0.14314,18.598639
Ultimos 10,2959,Elite X,100,80,0.8,2,01 - 16 - 22 - 26 - 39 - 44,18 - 26 - 35 - 41 - 44 - 45,17,0,0.0,0,0.0,0,0.0,100.0,99.770115,43.990148,5.473454,19.340067
