Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 10,2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 10,2955,Elite 9,50,46,0.92,3,13 - 21 - 33 - 44 - 50 - 54,09 - 13 - 21 - 32 - 33 - 59,24,0,0.0,0,0.0,0,0.0,73.333333,20.734463,2.20339,0.137603,16.993197
Ultimos 10,2955,Elite X,100,59,0.59,2,17 - 29 - 30 - 31 - 32 - 33,09 - 13 - 21 - 32 - 33 - 59,10,0,0.0,0,0.0,0,0.0,100.0,100.0,45.591133,5.473454,19.26936
Ultimos 10,2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 10,2956,Elite 9,50,28,0.56,2,02 - 10 - 21 - 25 - 34 - 59,10 - 18 - 21 - 24 - 43 - 47,1,0,0.0,0,0.0,0,0.0,71.666667,19.152542,2.106955,0.134937,20.612245
Ultimos 10,2956,Elite X,100,40,0.4,2,16 - 24 - 37 - 42 - 43 - 44,10 - 18 - 21 - 24 - 43 - 47,3,0,0.0,0,0.0,0,0.0,100.0,100.0,45.615764,5.473454,19.292929
Ultimos 10,2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 10,2957,Elite 9,50,19,0.38,2,12 - 13 - 28 - 32 - 37 - 59,19 - 28 - 36 - 37 - 48 - 52,2,0,0.0,0,0.0,0,0.0,73.333333,18.531073,2.104033,0.136578,24.517007
Ultimos 10,2957,Elite X,100,80,0.8,3,05 - 06 - 27 - 36 - 37 - 48,19 - 28 - 36 - 37 - 48 - 52,20,0,0.0,0,0.0,0,0.0,100.0,100.0,45.935961,5.473454,19.262626
Ultimos 10,2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0,0.0,0,0.0,0,0.0,100.0,57.570621,5.6955,0.307402,9.794613
