Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1965,Motor Elite 8,100,64,0.64,2,05 - 18 - 23 - 46 - 48 - 55,26 - 28 - 35 - 38 - 48 - 55,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
1966,Motor Elite 8,100,59,0.59,3,10 - 13 - 22 - 41 - 55 - 60,10 - 13 - 19 - 32 - 40 - 60,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1967,Motor Elite 8,100,57,0.57,4,13 - 21 - 32 - 39 - 46 - 58,13 - 30 - 32 - 39 - 46 - 54,10,10.0,0,0.0,1,1.0,0,0.0,0,0.0
1968,Motor Elite 8,100,59,0.59,3,10 - 17 - 35 - 39 - 48 - 56,35 - 36 - 39 - 44 - 48 - 52,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1969,Motor Elite 8,100,63,0.63,3,08 - 14 - 21 - 43 - 48 - 59,08 - 20 - 30 - 32 - 48 - 59,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1970,Motor Elite 8,100,56,0.56,3,09 - 18 - 24 - 39 - 42 - 43,05 - 10 - 18 - 24 - 39 - 52,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0
1971,Motor Elite 8,100,55,0.55,2,10 - 13 - 22 - 41 - 55 - 60,04 - 10 - 41 - 44 - 52 - 54,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1972,Motor Elite 8,100,60,0.6,3,07 - 09 - 16 - 37 - 48 - 54,09 - 16 - 20 - 54 - 57 - 59,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
1973,Motor Elite 8,100,59,0.59,3,01 - 17 - 27 - 40 - 54 - 60,01 - 12 - 16 - 17 - 52 - 60,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
1974,Motor Elite 8,100,59,0.59,3,04 - 17 - 22 - 31 - 38 - 57,04 - 19 - 27 - 38 - 54 - 57,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1975,Motor Elite 8,100,62,0.62,3,08 - 16 - 26 - 27 - 45 - 57,08 - 11 - 24 - 26 - 47 - 57,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1976,Motor Elite 8,100,67,0.67,3,01 - 14 - 32 - 41 - 52 - 59,12 - 14 - 19 - 25 - 52 - 59,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1977,Motor Elite 8,100,58,0.58,2,03 - 04 - 16 - 33 - 49 - 60,03 - 16 - 28 - 32 - 34 - 37,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1978,Motor Elite 8,100,55,0.55,3,02 - 04 - 21 - 35 - 44 - 55,02 - 06 - 22 - 44 - 55 - 57,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1979,Motor Elite 8,100,57,0.57,2,08 - 29 - 38 - 40 - 41 - 53,22 - 23 - 29 - 32 - 38 - 45,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1980,Motor Elite 8,100,60,0.6,2,07 - 09 - 16 - 37 - 48 - 54,12 - 16 - 17 - 18 - 34 - 37,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1981,Motor Elite 8,100,59,0.59,3,06 - 15 - 24 - 32 - 37 - 47,06 - 15 - 19 - 37 - 39 - 53,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1982,Motor Elite 8,100,60,0.6,2,09 - 13 - 14 - 30 - 50 - 57,04 - 14 - 20 - 24 - 46 - 50,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1983,Motor Elite 8,100,59,0.59,3,05 - 14 - 22 - 27 - 47 - 54,05 - 06 - 10 - 14 - 22 - 36,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1984,Motor Elite 8,100,58,0.58,3,10 - 23 - 32 - 35 - 43 - 54,21 - 29 - 32 - 35 - 43 - 50,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1985,Motor Elite 8,100,60,0.6,3,06 - 09 - 29 - 36 - 49 - 56,09 - 28 - 29 - 34 - 36 - 55,7,7.0,2,2.0,0,0.0,0,0.0,0,0.0
1986,Motor Elite 8,100,57,0.57,2,05 - 18 - 23 - 46 - 48 - 55,23 - 36 - 43 - 44 - 55 - 56,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,Motor Elite 8,100,61,0.61,3,03 - 14 - 21 - 45 - 54 - 58,10 - 14 - 31 - 34 - 45 - 58,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
1988,Motor Elite 8,100,60,0.6,3,10 - 17 - 25 - 36 - 39 - 46,05 - 10 - 39 - 42 - 46 - 54,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1989,Motor Elite 8,100,61,0.61,2,12 - 15 - 22 - 35 - 44 - 59,15 - 22 - 30 - 32 - 40 - 58,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
1990,Motor Elite 8,100,64,0.64,3,01 - 11 - 26 - 34 - 42 - 51,11 - 24 - 26 - 34 - 37 - 59,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0
1991,Motor Elite 8,100,61,0.61,3,05 - 19 - 20 - 24 - 36 - 57,19 - 20 - 28 - 34 - 36 - 44,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
1992,Motor Elite 8,100,56,0.56,2,03 - 14 - 21 - 45 - 54 - 58,05 - 11 - 13 - 21 - 53 - 54,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1993,Motor Elite 8,100,61,0.61,3,02 - 06 - 21 - 33 - 50 - 53,06 - 17 - 33 - 48 - 50 - 57,10,10.0,3,3.0,0,0.0,0,0.0,0,0.0
1994,Motor Elite 8,100,59,0.59,2,12 - 15 - 22 - 35 - 44 - 59,02 - 05 - 12 - 32 - 40 - 44,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1995,Motor Elite 8,100,63,0.63,3,05 - 14 - 26 - 38 - 39 - 59,14 - 26 - 29 - 35 - 37 - 39,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1996,Motor Elite 8,100,58,0.58,3,05 - 20 - 31 - 40 - 47 - 56,07 - 20 - 21 - 24 - 40 - 56,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1997,Motor Elite 8,100,65,0.65,3,01 - 14 - 19 - 36 - 46 - 53,01 - 07 - 14 - 31 - 35 - 46,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1998,Motor Elite 8,100,60,0.6,2,08 - 16 - 26 - 27 - 45 - 57,08 - 21 - 24 - 25 - 52 - 57,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
1999,Motor Elite 8,100,64,0.64,4,07 - 15 - 26 - 38 - 42 - 49,15 - 37 - 38 - 42 - 49 - 50,12,12.0,0,0.0,1,1.0,0,0.0,0,0.0
2000,Motor Elite 8,100,58,0.58,2,10 - 17 - 25 - 36 - 39 - 46,03 - 06 - 10 - 17 - 34 - 37,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2001,Motor Elite 8,100,60,0.6,2,07 - 20 - 28 - 43 - 45 - 52,20 - 22 - 36 - 42 - 52 - 60,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2002,Motor Elite 8,100,59,0.59,3,04 - 28 - 29 - 37 - 42 - 59,04 - 28 - 30 - 38 - 46 - 59,6,6.0,2,2.0,0,0.0,0,0.0,0,0.0
2003,Motor Elite 8,100,60,0.6,3,12 - 27 - 28 - 34 - 43 - 55,28 - 34 - 40 - 43 - 50 - 51,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2004,Motor Elite 8,100,63,0.63,2,05 - 18 - 23 - 46 - 48 - 55,01 - 05 - 14 - 23 - 35 - 45,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,Motor Elite 8,100,63,0.63,3,09 - 15 - 22 - 33 - 34 - 54,11 - 19 - 22 - 33 - 34 - 53,14,14.0,1,1.0,0,0.0,0,0.0,0,0.0
2006,Motor Elite 8,100,66,0.66,3,09 - 20 - 25 - 35 - 48 - 50,01 - 09 - 14 - 20 - 25 - 54,13,13.0,2,2.0,0,0.0,0,0.0,0,0.0
2007,Motor Elite 8,100,57,0.57,3,03 - 14 - 21 - 45 - 54 - 58,04 - 14 - 39 - 41 - 54 - 58,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2008,Motor Elite 8,100,64,0.64,3,05 - 11 - 32 - 33 - 42 - 58,22 - 27 - 33 - 42 - 58 - 59,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2009,Motor Elite 8,100,62,0.62,3,01 - 08 - 23 - 37 - 50 - 52,01 - 37 - 44 - 46 - 48 - 50,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2010,Motor Elite 8,100,58,0.58,3,07 - 08 - 19 - 39 - 50 - 56,08 - 10 - 18 - 34 - 39 - 56,7,7.0,2,2.0,0,0.0,0,0.0,0,0.0
2011,Motor Elite 8,100,59,0.59,3,10 - 23 - 32 - 35 - 43 - 54,02 - 28 - 32 - 35 - 54 - 58,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2012,Motor Elite 8,100,62,0.62,3,10 - 11 - 27 - 36 - 38 - 53,08 - 11 - 27 - 35 - 36 - 51,7,7.0,2,2.0,0,0.0,0,0.0,0,0.0
2013,Motor Elite 8,100,57,0.57,3,06 - 09 - 29 - 36 - 49 - 56,06 - 23 - 30 - 36 - 53 - 56,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2014,Motor Elite 8,100,59,0.59,2,08 - 29 - 38 - 40 - 41 - 53,16 - 32 - 40 - 46 - 53 - 56,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
2015,Motor Elite 8,100,58,0.58,3,13 - 21 - 32 - 39 - 46 - 58,17 - 18 - 27 - 32 - 39 - 58,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2016,Motor Elite 8,100,58,0.58,2,05 - 18 - 23 - 46 - 48 - 55,04 - 11 - 17 - 18 - 21 - 48,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
2017,Motor Elite 8,100,56,0.56,3,10 - 11 - 27 - 36 - 38 - 53,02 - 10 - 11 - 24 - 38 - 56,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
2018,Motor Elite 8,100,62,0.62,3,02 - 11 - 25 - 46 - 52 - 55,11 - 22 - 25 - 27 - 55 - 59,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2019,Motor Elite 8,100,61,0.61,3,01 - 14 - 32 - 41 - 52 - 59,23 - 41 - 46 - 52 - 54 - 59,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2020,Motor Elite 8,100,59,0.59,2,02 - 19 - 27 - 31 - 48 - 58,02 - 36 - 46 - 48 - 57 - 60,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
