Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 10,2955,Aleatorio,100,55,0.55,3,13 - 17 - 21 - 25 - 28 - 59,09 - 13 - 21 - 32 - 33 - 59,12,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 10,2955,Elite 9,50,34,0.68,2,05 - 21 - 33 - 44 - 50 - 54,09 - 13 - 21 - 32 - 33 - 59,6,0,0.0,0,0.0,0,0.0,75.0,21.920904,2.29398,0.14232,17.047619
Ultimos 10,2955,Elite X,100,55,0.55,2,09 - 18 - 32 - 35 - 42 - 52,09 - 13 - 21 - 32 - 33 - 59,9,0,0.0,0,0.0,0,0.0,100.0,95.632184,38.251232,5.30925,20.077441
Ultimos 10,2956,Aleatorio,100,61,0.61,3,10 - 16 - 21 - 27 - 32 - 43,10 - 18 - 21 - 24 - 43 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 10,2956,Elite 9,50,40,0.8,2,09 - 18 - 21 - 31 - 36 - 59,10 - 18 - 21 - 24 - 43 - 47,7,0,0.0,0,0.0,0,0.0,76.666667,21.129944,2.244302,0.139654,17.646259
Ultimos 10,2956,Elite X,100,53,0.53,2,14 - 24 - 27 - 37 - 41 - 43,10 - 18 - 21 - 24 - 43 - 47,6,0,0.0,0,0.0,0,0.0,100.0,96.551724,38.472906,5.305601,20.077441
Ultimos 10,2957,Aleatorio,100,52,0.52,3,10 - 25 - 28 - 48 - 52 - 58,19 - 28 - 36 - 37 - 48 - 52,14,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 10,2957,Elite 9,50,24,0.48,2,13 - 19 - 21 - 24 - 33 - 48,19 - 28 - 36 - 37 - 48 - 52,1,0,0.0,0,0.0,0,0.0,73.333333,20.225989,2.185856,0.138013,20.693878
Ultimos 10,2957,Elite X,100,75,0.75,3,05 - 06 - 27 - 36 - 37 - 48,19 - 28 - 36 - 37 - 48 - 52,16,0,0.0,0,0.0,0,0.0,100.0,96.551724,38.990148,5.291005,20.010101
Ultimos 10,2958,Aleatorio,100,57,0.57,3,07 - 09 - 11 - 42 - 53 - 58,07 - 09 - 14 - 35 - 42 - 49,14,0,0.0,0,0.0,0,0.0,100.0,57.570621,5.6955,0.307402,9.794613
