Ranking,Banco,Jogo,Score Final,Score Neural Elite X,Confianca,Soma,Pares
1,20 dezenas,01 - 13 - 24 - 44 - 53 - 54,76.73,73.94,Alta,189,3
2,20 dezenas,04 - 13 - 24 - 30 - 35 - 54,75.48,72.88,Media,160,4
3,20 dezenas,05 - 13 - 30 - 33 - 37 - 48,75.25,72.63,Media,166,2
4,20 dezenas,01 - 13 - 35 - 44 - 53 - 54,73.43,71.14,Media,200,2
5,20 dezenas,10 - 13 - 14 - 37 - 52 - 54,72.11,70.18,Media,180,4
6,20 dezenas,01 - 08 - 09 - 35 - 44 - 54,71.31,68.64,Media,151,3
7,20 dezenas,04 - 05 - 09 - 13 - 37 - 52,62.83,61.96,Media,120,2
8,20 dezenas,05 - 08 - 10 - 35 - 37 - 48,61.88,60.77,Baixa,143,3
9,20 dezenas,05 - 09 - 10 - 24 - 30 - 52,62.05,60.54,Media,130,4
10,20 dezenas,04 - 09 - 11 - 27 - 35 - 37,59.77,59.23,Baixa,123,1
11,20 dezenas,05 - 09 - 10 - 13 - 14 - 54,58.13,57.56,Baixa,105,3
12,20 dezenas,01 - 08 - 10 - 11 - 13 - 54,54.91,54.61,Baixa,97,3
