Janela,Concurso,Motor,Jogos,Total de acertos,Media de acertos,Melhor acerto,Melhor jogo,Resultado real,Score de premiacao,Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%),Cobertura de dezenas,Cobertura de duplas,Cobertura de trincas,Cobertura de quadras,Redundancia
Ultimos 3,1,Aleatorio,100,58,0.58,2,04 - 07 - 09 - 23 - 26 - 41,04 - 05 - 30 - 33 - 41 - 52,9,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 3,1,Elite 9,50,12,0.24,1,05 - 20 - 28 - 35 - 40 - 55,04 - 05 - 30 - 33 - 41 - 52,0,0,0.0,0,0.0,0,0.0,86.666667,23.672316,2.387493,0.144165,15.482993
Ultimos 3,1,Elite X,100,81,0.81,3,17 - 18 - 20 - 30 - 41 - 52,04 - 05 - 30 - 33 - 41 - 52,23,0,0.0,0,0.0,0,0.0,100.0,100.0,45.763547,5.473454,19.316498
Ultimos 3,2,Aleatorio,100,63,0.63,3,09 - 12 - 23 - 39 - 41 - 45,09 - 37 - 39 - 41 - 43 - 49,16,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 3,2,Elite 9,50,43,0.86,2,05 - 33 - 37 - 39 - 50 - 52,09 - 37 - 39 - 41 - 43 - 49,10,0,0.0,0,0.0,0,0.0,70.0,19.60452,2.197545,0.139038,19.632653
Ultimos 3,2,Elite X,100,41,0.41,2,31 - 34 - 35 - 41 - 43 - 45,09 - 37 - 39 - 41 - 43 - 49,4,0,0.0,0,0.0,0,0.0,100.0,100.0,45.763547,5.473454,19.296296
Ultimos 3,3,Aleatorio,100,67,0.67,2,07 - 11 - 38 - 40 - 42 - 47,10 - 11 - 29 - 30 - 36 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 3,3,Elite 9,50,22,0.44,2,19 - 29 - 36 - 38 - 41 - 46,10 - 11 - 29 - 30 - 36 - 47,1,0,0.0,0,0.0,0,0.0,81.666667,21.694915,2.320281,0.14273,20.571429
Ultimos 3,3,Elite X,100,42,0.42,2,11 - 14 - 30 - 31 - 33 - 41,10 - 11 - 29 - 30 - 36 - 47,4,0,0.0,0,0.0,0,0.0,100.0,100.0,45.566502,5.473454,19.323232
Ultimos 3,1,Aleatorio,100,58,0.58,2,04 - 07 - 09 - 23 - 26 - 41,04 - 05 - 30 - 33 - 41 - 52,9,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Ultimos 3,1,Elite 9,50,12,0.24,1,05 - 20 - 28 - 35 - 40 - 55,04 - 05 - 30 - 33 - 41 - 52,0,0,0.0,0,0.0,0,0.0,86.666667,23.672316,2.387493,0.144165,15.482993
Ultimos 3,1,Elite X,100,81,0.81,3,17 - 18 - 20 - 30 - 41 - 52,04 - 05 - 30 - 33 - 41 - 52,23,0,0.0,0,0.0,0,0.0,100.0,100.0,45.763547,5.473454,19.316498
Ultimos 3,2,Aleatorio,100,63,0.63,3,09 - 12 - 23 - 39 - 41 - 45,09 - 37 - 39 - 41 - 43 - 49,16,0,0.0,0,0.0,0,0.0,100.0,56.101695,5.713033,0.307402,10.20202
Ultimos 3,2,Elite 9,50,43,0.86,2,05 - 33 - 37 - 39 - 50 - 52,09 - 37 - 39 - 41 - 43 - 49,10,0,0.0,0,0.0,0,0.0,70.0,19.60452,2.197545,0.139038,19.632653
Ultimos 3,2,Elite X,100,41,0.41,2,31 - 34 - 35 - 41 - 43 - 45,09 - 37 - 39 - 41 - 43 - 49,4,0,0.0,0,0.0,0,0.0,100.0,100.0,45.763547,5.473454,19.296296
Ultimos 3,3,Aleatorio,100,67,0.67,2,07 - 11 - 38 - 40 - 42 - 47,10 - 11 - 29 - 30 - 36 - 47,15,0,0.0,0,0.0,0,0.0,100.0,56.497175,5.683811,0.306377,10.063973
Ultimos 3,3,Elite 9,50,22,0.44,2,19 - 29 - 36 - 38 - 41 - 46,10 - 11 - 29 - 30 - 36 - 47,1,0,0.0,0,0.0,0,0.0,81.666667,21.694915,2.320281,0.14273,20.571429
Ultimos 3,3,Elite X,100,42,0.42,2,11 - 14 - 30 - 31 - 33 - 41,10 - 11 - 29 - 30 - 36 - 47,4,0,0.0,0,0.0,0,0.0,100.0,100.0,45.566502,5.473454,19.323232
Toda a base,1,Aleatorio,100,58,0.58,2,04 - 07 - 09 - 23 - 26 - 41,04 - 05 - 30 - 33 - 41 - 52,9,0,0.0,0,0.0,0,0.0,100.0,57.118644,5.730567,0.307607,9.919192
Toda a base,1,Elite 9,50,12,0.24,1,05 - 20 - 28 - 35 - 40 - 55,04 - 05 - 30 - 33 - 41 - 52,0,0,0.0,0,0.0,0,0.0,86.666667,23.672316,2.387493,0.144165,15.482993
