Concurso,Data,Dezenas sorteadas,Acertos dentro das 20,Dezenas acertadas
1,11/03/1996,04 - 05 - 30 - 33 - 41 - 52,5,04 - 05 - 30 - 33 - 52
2,18/03/1996,09 - 37 - 39 - 41 - 43 - 49,2,09 - 37
3,25/03/1996,10 - 11 - 29 - 30 - 36 - 47,3,10 - 11 - 30
4,01/04/1996,01 - 05 - 06 - 27 - 42 - 59,3,01 - 05 - 27
5,08/04/1996,01 - 02 - 06 - 16 - 19 - 46,1,01
6,15/04/1996,07 - 13 - 19 - 22 - 40 - 47,1,13
7,22/04/1996,03 - 05 - 20 - 21 - 38 - 56,1,05
8,29/04/1996,04 - 17 - 37 - 38 - 47 - 53,3,04 - 37 - 53
9,06/05/1996,08 - 43 - 54 - 55 - 56 - 60,2,08 - 54
10,13/05/1996,04 - 18 - 21 - 25 - 38 - 57,1,04
11,20/05/1996,15 - 25 - 37 - 38 - 58 - 59,1,37
12,27/05/1996,04 - 16 - 19 - 20 - 27 - 43,2,04 - 27
13,03/06/1996,18 - 32 - 47 - 50 - 54 - 56,1,54
14,10/06/1996,02 - 16 - 23 - 27 - 47 - 53,2,27 - 53
15,17/06/1996,12 - 33 - 35 - 51 - 52 - 60,3,33 - 35 - 52
16,24/06/1996,20 - 32 - 34 - 49 - 58 - 60,0,
17,01/07/1996,06 - 10 - 13 - 19 - 20 - 51,2,10 - 13
18,08/07/1996,23 - 27 - 36 - 37 - 42 - 56,2,27 - 37
19,15/07/1996,05 - 10 - 12 - 24 - 25 - 60,3,05 - 10 - 24
20,22/07/1996,11 - 25 - 28 - 30 - 33 - 51,3,11 - 30 - 33
21,29/07/1996,06 - 33 - 36 - 46 - 49 - 53,2,33 - 53
22,05/08/1996,01 - 09 - 31 - 38 - 46 - 56,2,01 - 09
23,12/08/1996,17 - 37 - 39 - 51 - 52 - 59,2,37 - 52
24,19/08/1996,01 - 08 - 14 - 28 - 33 - 43,4,01 - 08 - 14 - 33
25,25/08/1996,24 - 43 - 50 - 54 - 55 - 56,2,24 - 54
26,01/09/1996,10 - 22 - 50 - 53 - 57 - 58,2,10 - 53
27,08/09/1996,13 - 17 - 20 - 33 - 44 - 51,3,13 - 33 - 44
28,15/09/1996,03 - 06 - 22 - 24 - 54 - 60,2,24 - 54
29,22/09/1996,03 - 08 - 14 - 43 - 56 - 58,2,08 - 14
30,29/09/1996,07 - 14 - 15 - 29 - 38 - 50,1,14
